elems;compares+swaps
100;5367
200;20822
300;46304
400;81825
500;127462
600;182958
700;248395
800;324014
900;409548
1000;504992
1100;610646
1200;726084
1300;851665
1400;987153
1500;1132711
1600;1288279
1700;1453863
1800;1629498
1900;1814858
2000;2010567
2100;2215949
2200;2431441
2300;2657026
2400;2892718
2500;3138278
2600;3393678
2700;3659168
2800;3934618
2900;4220255
3000;4515770
3100;4821314
3200;5136800
3300;5462455
3400;5798053
3500;6143411
3600;6499288
3700;6864436
3800;7240091
3900;7625411
4000;8021179
4100;8426688
4200;8842176
4300;9267629
4400;9703311
4500;10149078
4600;10604584
4700;11070137
4800;11545155
4900;12031039
5000;12526447
5100;13032067
5200;13547588
5300;14073355
5400;14608626
5500;15153836
5600;15709343
5700;16275389
5800;16851002
5900;17436372
6000;18031884
6100;18637456
6200;19252845
6300;19878392
6400;20514258
6500;21159464
6600;21814619
6700;22480551
6800;23156363
6900;23841737
7000;24537367
7100;25243381
7200;25958145
7300;26684031
7400;27419450
7500;28164933
7600;28920320
7700;29686097
7800;30461732
7900;31246760
8000;32042366
8100;32848205
8200;33663535
8300;34488639
8400;35324911
8500;36170282
8600;37025779
8700;37891000
8800;38767285
8900;39652451
9000;40548665
9100;41453562
9200;42368992
9300;43294461
9400;44229999
9500;45175307
9600;46131252
9700;47096509
9800;48071933
9900;49057545
10000;50052911
