elems;comparesAndSwaps
100;2174
200;4624
300;7750
400;10669
500;13763
600;16651
700;20245
800;23092
900;27369
1000;31098
1100;33662
1200;38368
1300;41497
1400;44738
1500;48866
1600;52421
1700;55943
1800;60691
1900;64267
2000;68131
2100;72508
2200;74536
2300;78744
2400;85774
2500;87915
2600;91678
2700;95464
2800;100636
2900;104936
3000;108294
3100;110762
3200;116069
3300;120443
3400;126804
3500;134498
3600;130515
3700;137981
3800;140230
3900;145932
4000;151514
4100;157210
4200;157499
4300;158216
4400;165687
4500;170409
4600;175152
4700;182680
4800;186196
4900;187252
5000;191308
5100;194153
5200;197508
5300;211312
5400;207306
5500;214345
5600;221098
5700;222994
5800;231177
5900;233819
6000;235888
6100;236269
6200;240738
6300;247048
6400;253161
6500;263763
6600;268300
6700;264775
6800;273237
6900;272286
7000;288034
7100;282767
7200;291532
7300;296403
7400;297367
7500;302848
7600;304846
7700;309097
7800;312310
7900;316820
8000;320261
8100;326945
8200;332914
8300;345784
8400;348034
8500;347983
8600;350803
8700;366365
8800;359701
8900;367226
9000;372859
9100;376773
9200;382657
9300;379777
9400;393798
9500;394488
9600;396781
9700;400120
9800;413515
9900;405761
10000;415422
