number of elements;compares+assignments
100;3481
200;7769
300;12345
400;17145
500;21945
600;27097
700;32297
800;37497
900;42697
1000;47897
1100;53401
1200;59001
1300;64601
1400;70201
1500;75801
1600;81401
1700;87001
1800;92601
1900;98201
2000;103801
2100;109609
2200;115609
2300;121609
2400;127609
2500;133609
2600;139609
2700;145609
2800;151609
2900;157609
3000;163609
3100;169609
3200;175609
3300;181609
3400;187609
3500;193609
3600;199609
3700;205609
3800;211609
3900;217609
4000;223609
4100;229625
4200;236025
4300;242425
4400;248825
4500;255225
4600;261625
4700;268025
4800;274425
4900;280825
5000;287225
5100;293625
5200;300025
5300;306425
5400;312825
5500;319225
5600;325625
5700;332025
5800;338425
5900;344825
6000;351225
6100;357625
6200;364025
6300;370425
6400;376825
6500;383225
6600;389625
6700;396025
6800;402425
6900;408825
7000;415225
7100;421625
7200;428025
7300;434425
7400;440825
7500;447225
7600;453625
7700;460025
7800;466425
7900;472825
8000;479225
8100;485625
8200;492057
8300;498857
8400;505657
8500;512457
8600;519257
8700;526057
8800;532857
8900;539657
9000;546457
9100;553257
9200;560057
9300;566857
9400;573657
9500;580457
9600;587257
9700;594057
9800;600857
9900;607657
10000;614457
