elems;compares+swaps
100;1364
200;5436
300;12002
400;21248
500;35407
600;48052
700;60760
800;84360
900;105732
1000;133574
1100;162509
1200;186764
1300;229134
1400;259031
1500;293417
1600;343665
1700;376587
1800;433587
1900;476115
2000;534354
2100;576317
2200;618710
2300;690579
2400;747574
2500;825008
2600;873923
2700;951109
2800;1033926
2900;1138364
3000;1188956
3100;1262282
3200;1325365
3300;1448842
3400;1494576
3500;1617942
3600;1705917
3700;1827201
3800;1918935
3900;2019953
4000;2113171
4100;2197115
4200;2332905
4300;2442346
4400;2557493
4500;2667230
4600;2780898
4700;2951053
4800;3004444
4900;3110055
5000;3248772
5100;3446714
5200;3544983
5300;3775115
5400;3892781
5500;3985642
5600;4075382
5700;4272227
5800;4364673
5900;4544163
6000;4751143
6100;4865161
6200;5050477
6300;5245788
6400;5356161
6500;5584202
6600;5736676
6700;5931423
6800;6100870
6900;6324126
7000;6386770
7100;6665806
7200;6836902
7300;6934640
7400;7195374
7500;7409549
7600;7584395
7700;7851259
7800;7968860
7900;8169329
8000;8396932
8100;8585332
8200;8765696
8300;8983832
8400;9370090
8500;9577098
8600;9798877
8700;9751554
8800;10138777
8900;10306369
9000;10513924
9100;10832579
9200;11124552
9300;11361820
9400;11675086
9500;11792758
9600;12082504
9700;12319992
9800;12562408
9900;12816231
10000;13115970
